CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Measure Code,Measure Name,Score,Footnote,Measure Date Range
61500,PIKES PEAK HOSPICE AND PALLIATIVE CARE,2550 TENDERFOOT HILL ST,,COLORADO SPRINGS,CO,80906,El Paso,(719) 633-3400,8,Average_Daily_Census,Average Daily Census,144,,01/01/2023-12/31/2023
61501,TRU COMMUNITY CARE - LAFAYETTE,2594 TRAILRIDGE DR E,,LAFAYETTE,CO,80026,Boulder,(303) 449-7740,8,Average_Daily_Census,Average Daily Census,252,,01/01/2023-12/31/2023
61503,BANNER HOSPICE OF NORTHERN COLORADO,5628 W 19TH ST,,GREELEY,CO,80634,Weld,(970) 352-8487,8,Average_Daily_Census,Average Daily Census,38,,01/01/2023-12/31/2023
61504,DENVER HOSPICE THE,8289 E LOWRY BLVD,,DENVER,CO,80230,Denver,(303) 321-2828,8,Average_Daily_Census,Average Daily Census,340,,01/01/2023-12/31/2023
61505,LAMAR AREA HOSPICE ASSOCIATION,108 W OLIVE ST,,LAMAR,CO,81052,Prowers,(719) 336-2100,8,Average_Daily_Census,Average Daily Census,18,,01/01/2023-12/31/2023
61506,HOME HOSPICE DENVER,9100 E MINERAL CIR,,CENTENNIAL,CO,80112,Adams,(303) 561-5193,8,Average_Daily_Census,Average Daily Census,3,,01/01/2023-12/31/2023
61508,INTERMOUNTAIN HEALTH HOSPICE DENVER,3210 LUTHERAN PKWY,,WHEAT RIDGE,CO,80033,Jefferson,(303) 425-8000,8,Average_Daily_Census,Average Daily Census,131,,01/01/2023-12/31/2023
61509,"MOUNT EVANS HOSPICE, INC",3081 BERGEN PEAK DR,,EVERGREEN,CO,80439,Jefferson,(303) 674-6400,8,Average_Daily_Census,Average Daily Census,44,,01/01/2023-12/31/2023
61510,SANGRE DE CRISTO HOSPICE & PALLIATIVE CARE,1920 VALLEY DR,,PUEBLO,CO,81008,Pueblo,(719) 542-0032,8,Average_Daily_Census,Average Daily Census,169,,01/01/2023-12/31/2023
61511,"HOSPICE DEL VALLE, INC.",514 MAIN ST,,ALAMOSA,CO,81101,Alamosa,(719) 589-9019,8,Average_Daily_Census,Average Daily Census,7,,01/01/2023-12/31/2023
61512,HOSPICE MERCY,1010 THREE SPRINGS BLVD ,,DURANGO,CO,81301,La Plata,(970) 382-2000,8,Average_Daily_Census,Average Daily Census,49,,01/01/2023-12/31/2023
61515,ARKANSAS VALLEY HOSPICE INC,531 LEWIS AVE,,LA JUNTA,CO,81050,Otero,(719) 384-8827,8,Average_Daily_Census,Average Daily Census,14,,01/01/2023-12/31/2023
61516,PATHWAYS HOSPICE,305 CARPENTER RD,,FORT COLLINS,CO,80525,Larimer,(970) 663-3500,8,Average_Daily_Census,Average Daily Census,232,,01/01/2023-12/31/2023
61517,ADVENTHEALTH HOSPICE CARE PORTER,6061 S WILLOW DR,,GREENWOOD VILLAGE,CO,80111,Arapahoe,(303) 561-5100,8,Average_Daily_Census,Average Daily Census,21,,01/01/2023-12/31/2023
61522,HOSPICE OF MONTEZUMA INC,512 N BROADWAY,,CORTEZ,CO,81321,Montezuma,(970) 565-4400,8,Average_Daily_Census,Average Daily Census,17,,01/01/2023-12/31/2023
61523,ESTES PARK HEALTH HOSPICE,555 PROSPECT AVE,,ESTES PARK,CO,80517,Larimer,(970) 586-2273,8,Average_Daily_Census,Average Daily Census,2,,01/01/2023-12/31/2023
61525,ENHABIT HOME HEALTH & HOSPICE,301 OAK ST,,SALIDA,CO,81201,Chaffee,(719) 539-7638,8,Average_Daily_Census,Average Daily Census,13,,01/01/2023-12/31/2023
61526,COLORADO VISITING NURSE ASSOCIATION,6750 W 52ND AVE,,ARVADA,CO,80002,Jefferson,(303) 329-0870,8,Average_Daily_Census,Average Daily Census,43,,01/01/2023-12/31/2023
61527,HOPEWEST GRAND JUNCTION,2754 COMPASS DR ,,GRAND JUNCTION,CO,81506,Mesa,(970) 241-2212,8,Average_Daily_Census,Average Daily Census,419,,01/01/2023-12/31/2023
61530,BACA COUNTY HOSPICE,324 E 9TH AVE,,SPRINGFIELD,CO,81073,Baca,(719) 523-4057,8,Average_Daily_Census,Average Daily Census,1,,01/01/2023-12/31/2023
61532,NORTHWEST COLORADO HEALTH,1475 PINE GROVE DR ,,STEAMBOAT SPRINGS,CO,80487,Routt,(970) 879-1632,8,Average_Daily_Census,Average Daily Census,7,,01/01/2023-12/31/2023
61537,GUNNISON VALLEY HEALTH HOSPICE AND PALLIATIVE CARE,1498 W TOMICHI AVE,,GUNNISON,CO,81230,Gunnison,(970) 641-4254,8,Average_Daily_Census,Average Daily Census,2,,01/01/2023-12/31/2023
61538,HOSPICE OF THE PLAINS INC,302 N 9TH AVE,,STERLING,CO,80751,Yuma,(970) 526-7901,8,Average_Daily_Census,Average Daily Census,29,,01/01/2023-12/31/2023
61545,NAMASTE HOSPICE,5161 E ARAPAHOE RD,,CENTENNIAL,CO,80122,Arapahoe,(303) 730-3578,8,Average_Daily_Census,Average Daily Census,86,,01/01/2023-12/31/2023
61551,AGAPE HOSPICE SERVICES,6041 S SYRACUSE WY ,,GREENWOOD VILLAGE,CO,80111,Arapahoe,(720) 482-1988,8,Average_Daily_Census,Average Daily Census,68,,01/01/2023-12/31/2023
61552,LINCOLN HEALTH HOSPICE,111 6TH ST,,HUGO,CO,80821,Lincoln,(719) 743-2797,8,Average_Daily_Census,Average Daily Census,5,,01/01/2023-12/31/2023
61553,COMPASSUS - GREATER COLORADO SPRINGS,5475 TECH CENTER DR STE 105,,COLORADO SPRINGS,CO,80919,El Paso,(719) 226-0091,8,Average_Daily_Census,Average Daily Census,132,,01/01/2023-12/31/2023
61554,"CENTERCARE HOSPICE, LLC",1300 FORTINO BLVD,,PUEBLO,CO,81008,Pueblo,(719) 544-5891,8,Average_Daily_Census,Average Daily Census,49,,01/01/2023-12/31/2023
61558,COMPASSUS - GREATER DENVER,4704 HARLAN ST,,DENVER,CO,80212,Arapahoe,(720) 200-1036,8,Average_Daily_Census,Average Daily Census,122,,01/01/2023-12/31/2023
61560,ACCENTCARE OF COLORADO,4065 ST CLOUD DR,,LOVELAND,CO,80538,Larimer,(970) 717-6033,8,Average_Daily_Census,Average Daily Census,46,,01/01/2023-12/31/2023
